,active,bill_id,bill_slug,bill_type,bill_uri,committee_codes,committees,congressdotgov_url,cosponsors,cosponsors_by_party.D,cosponsors_by_party.I,cosponsors_by_party.R,enacted,govtrack_url,gpo_pdf_uri,house_passage,introduced_date,last_vote,latest_major_action,latest_major_action_date,number,primary_subject,senate_passage,short_title,sponsor_id,sponsor_name,sponsor_party,sponsor_state,sponsor_title,sponsor_uri,subcommittee_codes,summary,summary_short,title,vetoed
16,True,sconres59-115,sconres59,sconres,https://api.propublica.org/congress/v1/115/bills/sconres59.json,['SSHR'],"Senate Health, Education, Labor, and Pensions Committee",https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/59,13,13.0,,,,https://www.govtrack.us/congress/bills/115/sconres59,https://www.govinfo.gov/content/pkg/BILLS-115sconres59is/pdf/BILLS-115sconres59is.pdf,,2018-12-10,,"Referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S7387-7388)",2018-12-10,S.CON.RES.59,,,"A concurrent resolution recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly individuals with disabilities.",B001277,Richard Blumenthal,D,CT,Sen.,https://api.propublica.org/congress/v1/members/B001277.json,[],,,"A concurrent resolution recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly individuals with disabilities.",
2,True,sres717-115,sres717,sres,https://api.propublica.org/congress/v1/115/bills/sres717.json,['SSJU'],Senate Judiciary Committee,https://www.congress.gov/bill/115th-congress/senate-resolution/717,18,10.0,1.0,7.0,,https://www.govtrack.us/congress/bills/115/sres717,https://www.govinfo.gov/content/pkg/BILLS-115sres717ats/pdf/BILLS-115sres717ats.pdf,,2018-12-06,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,2018-12-13,S.RES.717,Families,,A resolution honoring the life and legacy of Rebecca Teresa Weichhand.,F000062,Dianne Feinstein,D,CA,Sen.,https://api.propublica.org/congress/v1/members/F000062.json,[],,,A resolution honoring the life and legacy of Rebecca Teresa Weichhand.,
14,True,s3720-115,s3720,s,https://api.propublica.org/congress/v1/115/bills/s3720.json,"['SSBK', 'SSCM']","Senate Banking, Housing, and Urban Affairs Committee",https://www.congress.gov/bill/115th-congress/senate-bill/3720,6,5.0,1.0,,,https://www.govtrack.us/congress/bills/115/s3720,https://www.govinfo.gov/content/pkg/BILLS-115s3720is/pdf/BILLS-115s3720is.pdf,,2018-12-06,,"Referred to the Committee on Banking, Housing, and Urban Affairs.",2018-12-20,S.3720,,,Community Health and Clean Transit Act of 2018,M001176,Jeff Merkley,D,OR,Sen.,https://api.propublica.org/congress/v1/members/M001176.json,[],,,A bill to authorize the Secretary of Transportation to provide loans for the acquisition of electric buses and related infrastructure.,
3,True,sres715-115,sres715,sres,https://api.propublica.org/congress/v1/115/bills/sres715.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/715,99,47.0,2.0,50.0,,https://www.govtrack.us/congress/bills/115/sres715,https://www.govinfo.gov/content/pkg/BILLS-115sres715ats/pdf/BILLS-115sres715ats.pdf,,2018-12-05,,Message on Senate action sent to the House.,2018-12-06,S.RES.715,Government Operations and Politics,,A resolution honoring the life of President George Herbert Walker Bush.,C001056,John Cornyn,R,TX,Sen.,https://api.propublica.org/congress/v1/members/C001056.json,[],,,A resolution honoring the life of President George Herbert Walker Bush.,
15,True,sconres57-115,sconres57,sconres,https://api.propublica.org/congress/v1/115/bills/sconres57.json,[],,https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/57,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sconres57,https://www.govinfo.gov/content/pkg/BILLS-115sconres57ats/pdf/BILLS-115sconres57ats.pdf,,2018-12-04,,Held at the desk.,2018-12-06,S.CON.RES.57,Congress,,"A concurrent resolution authorizing the printing of a commemorative document in memory of the late President of the United States, George Herbert Walker Bush.",B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,"A concurrent resolution authorizing the printing of a commemorative document in memory of the late President of the United States, George Herbert Walker Bush.",
4,True,sconres55-115,sconres55,sconres,https://api.propublica.org/congress/v1/115/bills/sconres55.json,[],,https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/55,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sconres55,https://www.govinfo.gov/content/pkg/BILLS-115sconres55es/pdf/BILLS-115sconres55es.pdf,2018-12-03,2018-12-03,,Motion to reconsider laid on the table Agreed to without objection.,2018-12-03,S.CON.RES.55,Congress,,"A concurrent resolution authorizing the use of the rotunda of the Capitol for the lying in state of the remains of the late George Herbert Walker Bush, 41st President of the United States.",B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,"A concurrent resolution authorizing the use of the rotunda of the Capitol for the lying in state of the remains of the late George Herbert Walker Bush, 41st President of the United States.",
5,True,sconres56-115,sconres56,sconres,https://api.propublica.org/congress/v1/115/bills/sconres56.json,[],,https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/56,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sconres56,https://www.govinfo.gov/content/pkg/BILLS-115sconres56es/pdf/BILLS-115sconres56es.pdf,2018-12-03,2018-12-03,,Motion to reconsider laid on the table Agreed to without objection.,2018-12-03,S.CON.RES.56,Congress,,"A concurrent resolution providing for the use of the catafalque situated in the Exhibition Hall of the Capitol Visitor Center in connection with memorial services to be conducted in the rotunda of the Capitol for the late George Herbert Walker Bush, 41st ",B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,"A concurrent resolution providing for the use of the catafalque situated in the Exhibition Hall of the Capitol Visitor Center in connection with memorial services to be conducted in the rotunda of the Capitol for the late George Herbert Walker Bush, 41st President of the United States.",
6,True,s2-115,s2,s,https://api.propublica.org/congress/v1/115/bills/s2.json,['SSJU'],Senate Judiciary Committee,https://www.congress.gov/bill/115th-congress/senate-bill/2,3,2.0,,1.0,,https://www.govtrack.us/congress/bills/115/s2,https://www.govinfo.gov/content/pkg/BILLS-115s2es/pdf/BILLS-115s2es.pdf,,2018-12-03,,Held at the desk.,2018-12-19,S.2,Crime and Law Enforcement,2018-12-18,Effective Prosecution of Possession of Biological Toxins and Agents Act of 2018,G000386,Charles E. Grassley,R,IA,Sen.,https://api.propublica.org/congress/v1/members/G000386.json,[],,,"A bill to amend section 175b of title 18, United States Code, to correct a scrivener's error.",
9,True,sres711-115,sres711,sres,https://api.propublica.org/congress/v1/115/bills/sres711.json,['SSJU'],Senate Judiciary Committee,https://www.congress.gov/bill/115th-congress/senate-resolution/711,5,3.0,,2.0,,https://www.govtrack.us/congress/bills/115/sres711,https://www.govinfo.gov/content/pkg/BILLS-115sres711ats/pdf/BILLS-115sres711ats.pdf,,2018-11-29,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent. (consideration: CR S7453),2018-12-11,S.RES.711,Families,,"A resolution designating November 2018 as ""National Runaway Prevention Month"".",D000622,Tammy Duckworth,D,IL,Sen.,https://api.propublica.org/congress/v1/members/D000622.json,[],,,"A resolution designating November 2018 as ""National Runaway Prevention Month"".",
10,True,sres712-115,sres712,sres,https://api.propublica.org/congress/v1/115/bills/sres712.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/712,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres712,https://www.govinfo.gov/content/pkg/BILLS-115sres712ats/pdf/BILLS-115sres712ats.pdf,,2018-11-29,,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7247-7248; text: CR S7245)",2018-11-29,S.RES.712,Congress,,A resolution authorizing the use of official office funds to purchase the pocket version of the Constitution of the United States.,B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,A resolution authorizing the use of official office funds to purchase the pocket version of the Constitution of the United States.,
11,True,sconres54-115,sconres54,sconres,https://api.propublica.org/congress/v1/115/bills/sconres54.json,[],,https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/54,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sconres54,https://www.govinfo.gov/content/pkg/BILLS-115sconres54es/pdf/BILLS-115sconres54es.pdf,,2018-11-29,,Held at the desk.,2018-12-03,S.CON.RES.54,Congress,,A concurrent resolution authorizing the printing of the 26th edition of the pocket version of the Constitution of the United States.,B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,A concurrent resolution authorizing the printing of the 26th edition of the pocket version of the Constitution of the United States.,
19,True,sres710-115,sres710,sres,https://api.propublica.org/congress/v1/115/bills/sres710.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/710,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres710,https://www.govinfo.gov/content/pkg/BILLS-115sres710ats/pdf/BILLS-115sres710ats.pdf,,2018-11-28,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7194; text: CR S7193)",2018-11-28,S.RES.710,Education,,"A resolution supporting Lights On Afterschool, a national celebration of afterschool programs held on October 25, 2018.",C001035,Susan Collins,R,ME,Sen.,https://api.propublica.org/congress/v1/members/C001035.json,[],,,"A resolution supporting Lights On Afterschool, a national celebration of afterschool programs held on October 25, 2018.",
14,True,sres707-115,sres707,sres,https://api.propublica.org/congress/v1/115/bills/sres707.json,['SLIA'],Senate Indian Affairs Committee,https://www.congress.gov/bill/115th-congress/senate-resolution/707,21,17.0,2.0,2.0,,https://www.govtrack.us/congress/bills/115/sres707,https://www.govinfo.gov/content/pkg/BILLS-115sres707ats/pdf/BILLS-115sres707ats.pdf,,2018-11-27,,Resolution agreed to in Senate without amendment and with a preamble by Voice Vote.,2018-12-13,S.RES.707,Native Americans,,A resolution commemorating the 40th Anniversary of the Indian Child Welfare Act of 1978.,U000039,Tom Udall,D,NM,Sen.,https://api.propublica.org/congress/v1/members/U000039.json,[],Commemorates the 40th anniversary of the Indian Child Welfare Act of 1978.,Commemorates the 40th anniversary of the Indian Child Welfare Act of 1978.,A resolution commemorating the 40th Anniversary of the Indian Child Welfare Act of 1978.,
15,True,sres709-115,sres709,sres,https://api.propublica.org/congress/v1/115/bills/sres709.json,['SSFR'],Senate Foreign Relations Committee,https://www.congress.gov/bill/115th-congress/senate-resolution/709,55,22.0,,33.0,,https://www.govtrack.us/congress/bills/115/sres709,https://www.govinfo.gov/content/pkg/BILLS-115sres709ats/pdf/BILLS-115sres709ats.pdf,,2018-11-27,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,2018-11-29,S.RES.709,International Affairs,,A resolution condemning Russia's provocative actions in the Kerch Strait against the Ukrainian navy.,J000293,Ron Johnson,R,WI,Sen.,https://api.propublica.org/congress/v1/members/J000293.json,[],,,A resolution condemning Russia's provocative actions in the Kerch Strait against the Ukrainian navy.,
0,True,s3661-115,s3661,s,https://api.propublica.org/congress/v1/115/bills/s3661.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3661,5,3.0,,2.0,,https://www.govtrack.us/congress/bills/115/s3661,https://www.govinfo.gov/content/pkg/BILLS-115s3661eah/pdf/BILLS-115s3661eah.pdf,2018-12-21,2018-11-27,2018-12-21,Message on Senate action sent to the House.,2018-12-22,S.3661,Armed Forces and National Security,,75th Anniversary of World War II Commemoration Act,I000024,James M. Inhofe,R,OK,Sen.,https://api.propublica.org/congress/v1/members/I000024.json,[],,,A bill to provide for a program of the Department of Defense to commemorate the 75th anniversary of World War II.,
3,True,s7-115,s7,s,https://api.propublica.org/congress/v1/115/bills/s7.json,['SSCM'],"Senate Commerce, Science, and Transportation Committee",https://www.congress.gov/bill/115th-congress/senate-bill/7,0,,,,,https://www.govtrack.us/congress/bills/115/s7,https://www.govinfo.gov/content/pkg/BILLS-115s7enr/pdf/BILLS-115s7enr.pdf,2018-12-20,2018-11-27,2018-12-20,Presented to President.,2018-12-27,S.7,"Science, Technology, Communications",2018-12-06,NASA Enhanced Use Leasing Extension Act of 2018,W000437,Roger Wicker,R,MS,Sen.,https://api.propublica.org/congress/v1/members/W000437.json,[],,,"A bill to amend title 51, United States Code, to extend the authority of the National Aeronautics and Space Administration to enter into leases of non-excess property of the Administration.",
4,True,sres704-115,sres704,sres,https://api.propublica.org/congress/v1/115/bills/sres704.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/704,27,15.0,1.0,11.0,,https://www.govtrack.us/congress/bills/115/sres704,https://www.govinfo.gov/content/pkg/BILLS-115sres704ats/pdf/BILLS-115sres704ats.pdf,,2018-11-26,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7099-7100; text: CR S7090)",2018-11-26,S.RES.704,Families,,"A resolution expressing support for the goals of National Adoption Day and National Adoption Month by promoting national awareness of adoption and the children awaiting families, celebrating children and families involved in adoption, and encouraging the ",B000575,Roy Blunt,R,MO,Sen.,https://api.propublica.org/congress/v1/members/B000575.json,[],,,"A resolution expressing support for the goals of National Adoption Day and National Adoption Month by promoting national awareness of adoption and the children awaiting families, celebrating children and families involved in adoption, and encouraging the people of the United States to secure safety, permanency, and well-being for all children.",
